System-Time,NVPMODEL-POWER_MODE,CPU0-STATE,CPU0-CURR_FREQ,CPU0-CURR_LOAD,CPU1-STATE,CPU1-CURR_FREQ,CPU1-CURR_LOAD,CPU2-STATE,CPU2-CURR_FREQ,CPU2-CURR_LOAD,CPU3-STATE,CPU3-CURR_FREQ,CPU3-CURR_LOAD,CPU4-STATE,CPU4-CURR_FREQ,CPU4-CURR_LOAD,CPU5-STATE,CPU5-CURR_FREQ,CPU5-CURR_LOAD,IGPU0-CURR_FREQ,IGPU0-CURR_LOAD,EMC-CURR_FREQ,EMC-CURR_LOAD,MEM-USED_SIZE,MEM-TOTAL_SIZE,MEM-CURR_LOAD,SWAP-USED_SIZE,SWAP-TOTAL_SIZE,SWAP-CURR_LOAD,dla0-STATE,dla0-CURR_FREQ,dla1-STATE,dla1-CURR_FREQ,pva-STATE,pva-CURR_FREQ,nvdec-STATE,nvdec-CURR_FREQ,nvenc-STATE,nvenc-CURR_FREQ,nvjpg0-STATE,nvjpg0-CURR_FREQ,nvjpg1-STATE,nvjpg1-CURR_FREQ,se-STATE,se-CURR_FREQ,ape-STATE,ape-CURR_FREQ,cpu-thermal-CURR_TEMP,cpu-thermal-SW_THROTTLING_TEMP,cpu-thermal-SW_SHUTDOWN_TEMP,cv0-thermal-CURR_TEMP,cv0-thermal-SW_THROTTLING_TEMP,cv0-thermal-SW_SHUTDOWN_TEMP,cv1-thermal-CURR_TEMP,cv1-thermal-SW_THROTTLING_TEMP,cv1-thermal-SW_SHUTDOWN_TEMP,cv2-thermal-CURR_TEMP,cv2-thermal-SW_THROTTLING_TEMP,cv2-thermal-SW_SHUTDOWN_TEMP,gpu-thermal-CURR_TEMP,gpu-thermal-SW_THROTTLING_TEMP,gpu-thermal-SW_SHUTDOWN_TEMP,soc0-thermal-CURR_TEMP,soc0-thermal-SW_THROTTLING_TEMP,soc0-thermal-SW_SHUTDOWN_TEMP,soc1-thermal-CURR_TEMP,soc1-thermal-SW_THROTTLING_TEMP,soc1-thermal-SW_SHUTDOWN_TEMP,soc2-thermal-CURR_TEMP,soc2-thermal-SW_THROTTLING_TEMP,soc2-thermal-SW_SHUTDOWN_TEMP,tj-thermal-CURR_TEMP,tj-thermal-SW_THROTTLING_TEMP,tj-thermal-SW_SHUTDOWN_TEMP,VDD_IN-WARN_CURRENT,VDD_IN-CRIT_CURRENT,VDD_IN-IN_VOLTAGE,VDD_IN-IN_CURRENT,VDD_IN-IN_POWER,VDD_IN-AVG_POWER,VDD_CPU_GPU_CV-WARN_CURRENT,VDD_CPU_GPU_CV-CRIT_CURRENT,VDD_CPU_GPU_CV-IN_VOLTAGE,VDD_CPU_GPU_CV-IN_CURRENT,VDD_CPU_GPU_CV-IN_POWER,VDD_CPU_GPU_CV-AVG_POWER,VDD_SOC-WARN_CURRENT,VDD_SOC-CRIT_CURRENT,VDD_SOC-IN_VOLTAGE,VDD_SOC-IN_CURRENT,VDD_SOC-IN_POWER,VDD_SOC-AVG_POWER,fan1-FAN_PROFILE,fan1-FAN_GOVERNOR,fan1-FAN_CONTROL,fan1-CURR_PWM,fan1-RPM_MEASURED,DISK-USED_SIZE,DISK-TOTAL_SIZE
17:40:10,15W,True,1036.8,3,True,960.0,16,True,960.0,1,True,960.0,2,True,729.6,4,True,729.6,0,306.0,0,204.0,23,2260,7620,30,1316,3810,35,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,43.9,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,43.5,99.0,104.5,42.2,99.0,104.5,43.5,99.0,104.5,43.4,99.0,104.5,44.1,-,104.5,3088,4120,4880,1136,5543,6490,32760,32760,4872,128,623,1199,32760,32760,4872,336,1636,1779,cool,cont,close_loop,153,3522,96577,501387
17:40:11,15W,True,1510.4,21,True,1510.4,17,True,1113.6,10,True,1113.6,22,True,729.6,14,True,729.6,14,306.0,73,204.0,33,2268,7620,30,1316,3810,35,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,43.9,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,43.5,99.0,104.5,42.4,99.0,104.5,43.5,99.0,104.5,43.5,99.0,104.5,43.9,-,104.5,3088,4120,4872,1224,5963,6490,32760,32760,4864,192,933,1199,32760,32760,4872,344,1675,1779,cool,cont,close_loop,153,3517,96577,501387
17:40:12,15W,True,1036.8,27,True,1036.8,6,True,1036.8,3,True,1036.8,6,True,729.6,4,True,729.6,4,306.0,0,204.0,30,2274,7620,30,1316,3810,35,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,43.8,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,43.6,99.0,104.5,42.4,99.0,104.5,43.4,99.0,104.5,43.4,99.0,104.5,43.8,-,104.5,3088,4120,4872,1152,5612,6489,32760,32760,4864,144,700,1199,32760,32760,4872,336,1636,1779,cool,cont,close_loop,153,3515,96577,501387
17:40:13,15W,True,1036.8,4,True,1036.8,1,True,1036.8,1,True,1036.8,1,True,729.6,4,True,729.6,4,306.0,0,204.0,25,2274,7620,30,1316,3810,35,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,43.9,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,43.4,99.0,104.5,42.3,99.0,104.5,43.5,99.0,104.5,43.4,99.0,104.5,43.7,-,104.5,3088,4120,4880,1104,5387,6489,32760,32760,4872,112,545,1199,32760,32760,4872,336,1636,1779,cool,cont,close_loop,153,3520,96577,501387
17:40:14,15W,True,1036.8,4,True,1036.8,2,True,1036.8,1,True,1036.8,2,True,729.6,5,True,729.6,4,306.0,0,204.0,23,2273,7620,30,1315,3810,35,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,43.8,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,43.4,99.0,104.5,42.3,99.0,104.5,43.4,99.0,104.5,43.4,99.0,104.5,43.8,-,104.5,3088,4120,4880,1104,5387,6489,32760,32760,4872,112,545,1198,32760,32760,4872,336,1636,1779,cool,cont,close_loop,153,3519,96577,501387
17:40:15,15W,True,1036.8,4,True,1036.8,3,True,1036.8,4,True,1036.8,4,True,729.6,3,True,729.6,3,306.0,0,204.0,23,2273,7620,30,1315,3810,35,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,44.0,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,43.6,99.0,104.5,42.3,99.0,104.5,43.6,99.0,104.5,43.3,99.0,104.5,44.0,-,104.5,3088,4120,4880,1112,5426,6488,32760,32760,4872,112,545,1198,32760,32760,4872,336,1636,1779,cool,cont,close_loop,153,3521,96577,501387
17:40:16,15W,True,1036.8,41,True,1036.8,10,True,1036.8,12,True,1036.8,11,True,1510.4,13,True,1510.4,28,306.0,0,204.0,27,2339,7620,31,1315,3810,35,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,44.1,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,43.6,99.0,104.5,42.2,99.0,104.5,43.6,99.0,104.5,43.4,99.0,104.5,44.1,-,104.5,3088,4120,4872,1232,6002,6488,32760,32760,4864,200,972,1198,32760,32760,4872,344,1675,1779,cool,cont,close_loop,153,3518,96577,501387
17:40:17,15W,True,1036.8,12,True,1036.8,10,True,1036.8,9,True,1036.8,7,True,1510.4,8,True,1510.4,95,306.0,0,204.0,29,2453,7620,32,1315,3810,35,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,44.2,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,43.3,99.0,104.5,42.3,99.0,104.5,43.5,99.0,104.5,43.5,99.0,104.5,44.2,-,104.5,3088,4120,4872,1272,6197,6488,32760,32760,4864,248,1206,1198,32760,32760,4864,344,1673,1779,cool,cont,close_loop,153,3516,96577,501387
17:40:18,15W,True,1267.2,22,True,1267.2,10,True,1267.2,8,True,1267.2,11,True,1510.4,21,True,1510.4,93,306.0,0,204.0,34,2491,7620,33,1300,3810,34,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,44.2,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,43.6,99.0,104.5,42.4,99.0,104.5,43.4,99.0,104.5,43.5,99.0,104.5,44.2,-,104.5,3088,4120,4864,1344,6537,6488,32760,32760,4856,304,1476,1198,32760,32760,4864,344,1673,1778,cool,cont,close_loop,153,3515,96577,501387
17:40:19,15W,True,1036.8,10,True,1036.8,9,True,1036.8,5,True,1036.8,8,True,1510.4,4,True,1510.4,98,306.0,0,204.0,34,2508,7620,33,1299,3810,34,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,44.1,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,43.5,99.0,104.5,42.4,99.0,104.5,43.4,99.0,104.5,43.5,99.0,104.5,44.1,-,104.5,3088,4120,4864,1296,6303,6488,32760,32760,4856,264,1281,1198,32760,32760,4864,344,1673,1778,cool,cont,close_loop,153,3518,96577,501387
