System-Time,NVPMODEL-POWER_MODE,CPU0-STATE,CPU0-CURR_FREQ,CPU0-CURR_LOAD,CPU1-STATE,CPU1-CURR_FREQ,CPU1-CURR_LOAD,CPU2-STATE,CPU2-CURR_FREQ,CPU2-CURR_LOAD,CPU3-STATE,CPU3-CURR_FREQ,CPU3-CURR_LOAD,CPU4-STATE,CPU4-CURR_FREQ,CPU4-CURR_LOAD,CPU5-STATE,CPU5-CURR_FREQ,CPU5-CURR_LOAD,IGPU0-CURR_FREQ,IGPU0-CURR_LOAD,EMC-CURR_FREQ,EMC-CURR_LOAD,MEM-USED_SIZE,MEM-TOTAL_SIZE,MEM-CURR_LOAD,SWAP-USED_SIZE,SWAP-TOTAL_SIZE,SWAP-CURR_LOAD,dla0-STATE,dla0-CURR_FREQ,dla1-STATE,dla1-CURR_FREQ,pva-STATE,pva-CURR_FREQ,nvdec-STATE,nvdec-CURR_FREQ,nvenc-STATE,nvenc-CURR_FREQ,nvjpg0-STATE,nvjpg0-CURR_FREQ,nvjpg1-STATE,nvjpg1-CURR_FREQ,se-STATE,se-CURR_FREQ,ape-STATE,ape-CURR_FREQ,cpu-thermal-CURR_TEMP,cpu-thermal-SW_THROTTLING_TEMP,cpu-thermal-SW_SHUTDOWN_TEMP,cv0-thermal-CURR_TEMP,cv0-thermal-SW_THROTTLING_TEMP,cv0-thermal-SW_SHUTDOWN_TEMP,cv1-thermal-CURR_TEMP,cv1-thermal-SW_THROTTLING_TEMP,cv1-thermal-SW_SHUTDOWN_TEMP,cv2-thermal-CURR_TEMP,cv2-thermal-SW_THROTTLING_TEMP,cv2-thermal-SW_SHUTDOWN_TEMP,gpu-thermal-CURR_TEMP,gpu-thermal-SW_THROTTLING_TEMP,gpu-thermal-SW_SHUTDOWN_TEMP,soc0-thermal-CURR_TEMP,soc0-thermal-SW_THROTTLING_TEMP,soc0-thermal-SW_SHUTDOWN_TEMP,soc1-thermal-CURR_TEMP,soc1-thermal-SW_THROTTLING_TEMP,soc1-thermal-SW_SHUTDOWN_TEMP,soc2-thermal-CURR_TEMP,soc2-thermal-SW_THROTTLING_TEMP,soc2-thermal-SW_SHUTDOWN_TEMP,tj-thermal-CURR_TEMP,tj-thermal-SW_THROTTLING_TEMP,tj-thermal-SW_SHUTDOWN_TEMP,VDD_IN-WARN_CURRENT,VDD_IN-CRIT_CURRENT,VDD_IN-IN_VOLTAGE,VDD_IN-IN_CURRENT,VDD_IN-IN_POWER,VDD_IN-AVG_POWER,VDD_CPU_GPU_CV-WARN_CURRENT,VDD_CPU_GPU_CV-CRIT_CURRENT,VDD_CPU_GPU_CV-IN_VOLTAGE,VDD_CPU_GPU_CV-IN_CURRENT,VDD_CPU_GPU_CV-IN_POWER,VDD_CPU_GPU_CV-AVG_POWER,VDD_SOC-WARN_CURRENT,VDD_SOC-CRIT_CURRENT,VDD_SOC-IN_VOLTAGE,VDD_SOC-IN_CURRENT,VDD_SOC-IN_POWER,VDD_SOC-AVG_POWER,fan1-FAN_PROFILE,fan1-FAN_GOVERNOR,fan1-FAN_CONTROL,fan1-CURR_PWM,fan1-RPM_MEASURED,DISK-USED_SIZE,DISK-TOTAL_SIZE
20:20:27,15W,True,1036.8,3,True,1036.8,12,True,1036.8,5,True,1036.8,2,True,729.6,0,True,729.6,0,306.0,0,204.0,22,3202,7620,42,2704,3810,71,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,43.6,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,43.5,99.0,104.5,42.2,99.0,104.5,43.3,99.0,104.5,43.2,99.0,104.5,43.7,-,104.5,3072,4104,4880,1104,5387,6296,32760,32760,4872,112,545,1071,32760,32760,4880,336,1639,1764,cool,cont,close_loop,153,3502,97096,501387
20:20:28,15W,True,1036.8,9,True,1036.8,6,True,1036.8,10,True,1036.8,6,True,729.6,2,True,729.6,3,306.0,0,204.0,23,3207,7620,42,2704,3810,71,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,43.5,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,43.2,99.0,104.5,42.2,99.0,104.5,43.4,99.0,104.5,43.3,99.0,104.5,43.6,-,104.5,3072,4104,4880,1112,5426,6296,32760,32760,4872,112,545,1071,32760,32760,4880,336,1639,1764,cool,cont,close_loop,153,3502,97096,501387
20:20:29,15W,True,960.0,3,True,1036.8,5,True,1036.8,2,True,1036.8,3,True,729.6,0,True,729.6,4,306.0,0,204.0,22,3207,7620,42,2704,3810,71,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,43.8,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,43.6,99.0,104.5,42.2,99.0,104.5,43.3,99.0,104.5,43.2,99.0,104.5,43.6,-,104.5,3072,4104,4880,1096,5348,6295,32760,32760,4872,112,545,1071,32760,32760,4880,336,1639,1764,cool,cont,close_loop,153,3505,97096,501387
20:20:30,15W,True,1036.8,1,True,1036.8,5,True,1036.8,3,True,1036.8,3,True,729.6,2,True,729.6,4,306.0,0,204.0,21,3207,7620,42,2704,3810,71,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,43.7,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,43.3,99.0,104.5,42.2,99.0,104.5,43.2,99.0,104.5,43.2,99.0,104.5,43.7,-,104.5,3072,4104,4880,1096,5348,6295,32760,32760,4872,112,545,1071,32760,32760,4880,336,1639,1764,cool,cont,close_loop,153,3505,97096,501387
20:20:31,15W,True,1036.8,3,True,1036.8,0,True,1036.8,4,True,1036.8,2,True,729.6,3,True,729.6,1,306.0,0,204.0,21,3207,7620,42,2704,3810,71,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,43.9,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,43.2,99.0,104.5,42.3,99.0,104.5,43.3,99.0,104.5,43.2,99.0,104.5,43.9,-,104.5,3072,4104,4880,1096,5348,6295,32760,32760,4872,104,506,1070,32760,32760,4880,336,1639,1764,cool,cont,close_loop,153,3507,97096,501387
20:20:32,15W,True,1036.8,3,True,1036.8,3,True,1036.8,2,True,1036.8,3,True,729.6,3,True,729.6,1,306.0,0,204.0,21,3207,7620,42,2704,3810,71,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,43.8,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,43.3,99.0,104.5,42.3,99.0,104.5,43.4,99.0,104.5,43.2,99.0,104.5,43.8,-,104.5,3072,4104,4880,1096,5348,6294,32760,32760,4872,112,545,1070,32760,32760,4880,336,1639,1764,cool,cont,close_loop,153,3502,97096,501387
20:20:33,15W,True,1036.8,1,True,1036.8,3,True,1036.8,3,True,1036.8,2,True,729.6,3,True,729.6,0,306.0,0,204.0,21,3207,7620,42,2704,3810,71,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,43.7,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,43.3,99.0,104.5,42.2,99.0,104.5,43.3,99.0,104.5,43.2,99.0,104.5,43.7,-,104.5,3072,4104,4880,1096,5348,6294,32760,32760,4872,112,545,1070,32760,32760,4880,336,1639,1764,cool,cont,close_loop,153,3504,97096,501387
20:20:34,15W,True,1036.8,3,True,1036.8,1,True,1036.8,4,True,1036.8,4,True,729.6,3,True,729.6,2,306.0,0,204.0,21,3207,7620,42,2704,3810,71,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,43.7,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,43.2,99.0,104.5,42.2,99.0,104.5,43.3,99.0,104.5,43.2,99.0,104.5,43.7,-,104.5,3072,4104,4880,1096,5348,6294,32760,32760,4872,112,545,1070,32760,32760,4880,336,1639,1764,cool,cont,close_loop,153,3504,97096,501387
20:20:35,15W,True,1497.6,17,True,1497.6,22,True,1497.6,40,True,1497.6,15,True,729.6,3,True,729.6,20,306.0,0,204.0,32,3222,7620,42,2704,3810,71,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,43.8,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,43.5,99.0,104.5,42.1,99.0,104.5,43.2,99.0,104.5,43.3,99.0,104.5,43.8,-,104.5,3072,4104,4872,1264,6158,6294,32760,32760,4864,224,1089,1070,32760,32760,4872,344,1675,1764,cool,cont,close_loop,153,3502,97096,501387
20:20:36,15W,True,1510.4,16,True,1510.4,15,True,1510.4,97,True,1510.4,16,True,1113.6,17,True,1113.6,15,306.0,0,204.0,32,3372,7620,44,2704,3810,71,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,False,-,43.8,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,-256000,99.0,104.5,43.5,99.0,104.5,42.2,99.0,104.5,43.3,99.0,104.5,43.5,99.0,104.5,43.8,-,104.5,3072,4104,4872,1304,6353,6294,32760,32760,4864,280,1361,1070,32760,32760,4864,336,1634,1764,cool,cont,close_loop,153,3500,97096,501387
